year,region,crop_type,rainfall_mm,temperature_celsius,fertilizer_kg_per_ha,pesticide_kg_per_ha,farm_size_ha,soil_type,elevation_m,irrigation,yield_kg_per_ha
2005,Coast,Sorghum,393.7,28.3,36.8,0.72,1.55,sandy,305,1,563.3
2017,Rift Valley,Sorghum,849.5,16.5,72.6,0.35,0.99,volcanic,1603,1,885.6
2004,Coast,Tea,1133.5,29.7,57.8,0.83,0.85,loam,355,0,1119.8
2006,North Eastern,Beans,239.0,28.7,41.4,1.66,0.5,sandy,476,0,128.3
2020,Coast,Sorghum,742.3,26.6,33.5,2.1,0.86,sandy,516,1,507.0
2003,North Eastern,Tea,250.2,33.3,77.7,4.81,0.96,clay,370,1,351.4
2016,Coast,Sorghum,516.0,28.0,13.5,5.66,0.32,sandy,89,0,400.5
2023,Central,Tea,1459.5,16.8,44.3,2.36,3.21,volcanic,2389,1,13927.7
2015,Rift Valley,Sorghum,662.8,18.4,53.2,3.27,1.62,volcanic,1673,1,1211.9
2000,Coast,Maize,1331.8,26.9,23.7,2.62,2.47,sandy,488,1,635.9
2003,Coast,Beans,672.3,27.4,64.3,2.71,6.85,sandy,482,1,316.3
2018,Central,Wheat,1405.9,16.3,23.1,3.89,1.07,volcanic,2825,1,2946.4
2020,Coast,Maize,1344.9,28.6,65.4,2.93,0.6,sandy,49,0,440.4
2004,Central,Beans,1241.1,15.4,24.0,1.75,4.58,loam,2974,1,1007.4
2015,Western,Beans,1830.0,24.0,28.1,1.58,0.65,clay,1962,1,504.7
2000,North Eastern,Sorghum,381.8,30.7,57.1,2.51,2.83,clay,368,0,899.4
2023,Coast,Maize,660.0,28.7,22.1,4.09,6.93,loam,494,1,932.8
2004,Western,Tea,1730.7,20.9,39.5,5.71,4.52,clay,1648,0,6723.3
2003,Western,Beans,1989.8,21.9,15.1,0.79,1.72,loam,1562,0,411.5
2004,Eastern,Beans,544.3,26.5,39.3,2.07,1.95,sandy,765,0,280.8
2008,Rift Valley,Maize,791.2,20.7,2.7,1.7,0.96,loam,2514,1,1656.8
2009,Coast,Sorghum,777.7,29.6,71.6,3.87,2.83,sandy,22,0,461.2
2004,Nyanza,Tea,1599.6,26.9,22.4,1.93,1.59,clay,1311,0,3012.7
2002,Eastern,Wheat,726.7,25.2,12.5,1.79,10.59,sandy,1253,1,657.0
2002,Coast,Wheat,981.5,29.0,57.5,1.53,0.58,sandy,9,0,301.4
2017,Western,Tea,1895.2,22.8,20.7,1.31,1.45,loam,1270,0,4040.6
2023,Western,Tea,1373.4,22.3,46.3,0.27,2.07,loam,1465,1,8257.7
2010,Western,Beans,1555.2,22.8,53.9,3.6,0.68,loam,1766,0,706.7
2013,North Eastern,Sorghum,221.4,27.8,82.4,3.97,0.25,sandy,250,1,919.4
2006,Central,Sorghum,1095.6,15.2,64.5,1.92,2.44,loam,2974,1,530.6
2001,Rift Valley,Sorghum,593.5,16.7,59.4,3.81,1.74,volcanic,2463,1,876.5
2003,North Eastern,Wheat,208.5,34.8,0.0,2.29,3.07,sandy,305,0,160.9
2001,Coast,Wheat,1205.7,27.7,63.3,3.3,0.29,sandy,330,0,372.4
2011,Central,Tea,898.0,16.6,36.1,3.31,1.58,loam,2893,1,10681.4
2014,North Eastern,Coffee,245.4,31.2,21.5,0.69,3.22,clay,275,0,100.0
2012,North Eastern,Sorghum,217.6,33.0,2.3,0.21,1.33,sandy,466,0,353.2
2012,Central,Wheat,1352.6,18.8,42.5,4.9,1.57,volcanic,1752,1,3276.3
2007,North Eastern,Coffee,293.1,30.4,35.7,4.21,1.05,sandy,497,0,100.0
2012,Eastern,Coffee,680.7,20.0,42.5,5.41,0.67,clay,758,0,499.4
2000,North Eastern,Sorghum,324.7,30.2,50.8,1.12,1.52,clay,424,1,877.9
2002,Coast,Maize,923.5,31.0,0.0,4.14,3.23,loam,138,0,510.3
2004,Nyanza,Maize,1794.9,17.2,15.5,1.13,0.76,clay,1536,0,884.2
2016,Eastern,Sorghum,513.7,22.2,66.0,0.0,3.21,sandy,678,0,678.9
2013,Eastern,Coffee,556.5,25.7,0.0,2.06,1.6,clay,656,0,245.8
2000,Eastern,Tea,359.2,24.6,61.3,1.94,3.48,sandy,715,0,1321.3
2002,Eastern,Wheat,603.8,17.6,3.0,3.73,0.92,clay,937,0,1004.3
2014,Rift Valley,Wheat,758.9,17.3,53.1,1.42,1.41,volcanic,2043,1,4327.4
2021,Eastern,Maize,442.5,18.4,38.3,2.32,3.89,sandy,778,0,640.8
2002,Eastern,Tea,654.5,26.9,41.8,4.72,0.61,sandy,659,1,1241.4
2015,Central,Wheat,1435.4,14.4,50.7,0.0,0.75,volcanic,2413,1,2356.5
2003,North Eastern,Tea,267.7,31.0,18.3,4.4,0.19,sandy,400,0,168.9
2014,North Eastern,Tea,313.8,24.0,42.4,0.83,1.52,sandy,307,0,235.0
2022,North Eastern,Coffee,322.7,27.8,60.8,0.6,1.89,sandy,454,0,100.0
2018,Central,Sorghum,1311.1,15.2,31.7,2.06,2.67,volcanic,2644,1,456.2
2019,North Eastern,Coffee,357.4,31.2,61.0,2.99,1.49,sandy,296,0,100.0
2009,Rift Valley,Coffee,1099.1,22.4,7.2,0.0,0.87,loam,1856,1,899.9
2014,North Eastern,Maize,298.0,33.1,73.7,1.81,2.87,sandy,481,0,243.1
2020,Central,Coffee,1164.9,18.3,42.0,4.44,0.82,volcanic,2297,1,1647.5
2018,Nyanza,Maize,1476.1,20.4,37.3,1.42,0.62,loam,1140,0,1570.0
2010,Rift Valley,Wheat,1038.6,14.9,22.3,2.0,2.21,volcanic,1832,1,4091.0
2016,North Eastern,Sorghum,102.4,25.8,35.0,0.76,1.01,sandy,247,0,618.9
2015,Central,Coffee,910.7,16.1,61.7,2.46,2.09,loam,2961,1,1343.0
2019,Nyanza,Coffee,1561.2,24.3,6.1,4.01,0.91,loam,1154,0,587.3
2013,Rift Valley,Maize,956.0,13.7,5.0,2.23,1.43,volcanic,1830,1,1430.9
2018,Central,Coffee,1145.4,18.2,45.6,5.25,0.46,volcanic,1845,1,1574.6
2023,Western,Coffee,1572.2,20.2,25.3,4.35,2.9,clay,1798,0,684.2
2023,Central,Coffee,1438.3,16.8,17.6,1.91,1.53,loam,2151,1,1078.6
2023,Nyanza,Tea,1295.5,25.0,39.2,2.22,0.56,loam,1239,0,4592.6
2001,Central,Beans,1102.6,16.3,24.6,0.56,0.98,loam,2850,1,864.2
2023,North Eastern,Sorghum,319.7,31.9,48.0,0.0,0.74,clay,500,0,646.8
2002,North Eastern,Coffee,368.3,31.4,40.0,1.62,0.63,clay,475,0,100.0
2015,Central,Tea,1029.9,15.9,55.1,2.17,0.52,volcanic,2195,1,16919.2
2010,Eastern,Beans,483.2,30.2,23.7,5.66,1.38,clay,1156,0,248.7
2002,Nyanza,Beans,1722.0,24.7,23.8,0.62,1.11,clay,1677,0,440.7
2012,Eastern,Wheat,206.3,20.7,8.6,3.01,0.94,clay,827,0,863.0
2008,Eastern,Coffee,241.1,26.4,57.5,2.03,3.24,sandy,1368,0,254.1
2014,North Eastern,Maize,298.8,32.3,10.4,4.22,1.71,sandy,560,0,214.4
2013,Western,Coffee,1315.9,22.5,26.9,4.17,4.15,loam,1476,1,978.7
2015,Western,Coffee,1613.5,19.3,51.1,3.45,2.18,clay,1716,0,761.8
2000,Coast,Tea,1055.8,30.6,44.5,0.27,3.73,sandy,108,0,479.8
2002,North Eastern,Sorghum,338.5,31.8,37.2,3.01,2.77,sandy,372,0,560.4
2001,Nyanza,Sorghum,1191.0,24.2,45.2,1.69,0.67,loam,1526,0,746.0
2010,Nyanza,Sorghum,1290.5,21.3,19.1,0.0,5.69,loam,1508,0,526.5
2016,Eastern,Maize,742.1,28.6,22.9,2.67,2.16,clay,1310,0,805.5
2023,Western,Wheat,1645.0,23.7,38.0,1.24,2.28,clay,1664,0,842.3
2017,North Eastern,Coffee,165.5,38.5,6.9,2.51,3.01,sandy,558,1,100.0
2022,Nyanza,Coffee,1684.9,23.5,16.1,0.0,1.04,loam,1502,1,701.9
2014,Western,Tea,1754.6,26.0,42.5,2.17,1.13,clay,1295,1,4848.2
2014,Coast,Tea,562.8,32.1,31.9,2.22,0.79,sandy,271,0,476.0
2002,Western,Coffee,1778.9,26.8,83.7,1.47,4.21,clay,1300,0,520.3
2001,Western,Wheat,1982.5,23.3,21.5,0.1,1.07,loam,1607,0,633.1
2005,Rift Valley,Maize,800.0,20.1,35.3,2.21,1.8,loam,1729,1,2155.8
2000,Central,Wheat,1454.2,15.0,7.6,3.07,0.76,volcanic,2690,1,2732.7
2017,Coast,Coffee,1155.7,29.0,40.0,3.12,4.15,sandy,205,0,155.0
2009,Nyanza,Maize,777.7,23.0,62.4,2.22,2.25,clay,1298,0,1709.0
2019,Western,Tea,1792.1,22.4,50.2,8.39,0.31,clay,1992,0,7393.1
2023,Eastern,Beans,638.3,25.3,28.5,0.24,13.48,sandy,918,0,239.6
2017,Central,Sorghum,1299.4,19.1,16.0,0.0,2.46,volcanic,1693,1,466.9
2021,Central,Sorghum,695.8,17.3,35.7,1.03,0.41,loam,2467,1,548.9
2011,Coast,Beans,1356.7,29.4,47.0,4.11,1.33,loam,580,1,356.5
2002,North Eastern,Sorghum,322.8,33.7,27.3,3.19,0.31,clay,233,0,576.6
2023,Eastern,Tea,650.1,19.4,32.7,2.94,1.96,clay,537,0,2504.4
2016,Central,Tea,1082.7,17.4,54.3,0.0,3.04,loam,2613,1,11081.9
2014,Coast,Coffee,1477.6,26.8,11.1,3.46,4.58,sandy,193,1,227.2
2010,Central,Coffee,902.0,14.5,46.5,4.54,1.39,loam,1728,1,1089.1
2007,Rift Valley,Maize,755.2,18.6,31.0,1.32,1.34,volcanic,1540,1,2307.6
2023,Nyanza,Coffee,728.5,18.8,27.9,3.19,0.2,clay,1612,0,590.6
2005,Western,Wheat,1487.2,21.7,45.9,0.0,0.45,clay,1776,0,974.4
2013,Rift Valley,Wheat,646.0,21.4,27.7,1.99,3.73,loam,2185,1,2543.1
2000,Central,Sorghum,1032.9,19.2,57.3,1.75,2.02,volcanic,2082,1,715.0
2021,Rift Valley,Coffee,862.3,21.4,60.4,3.88,0.98,volcanic,2192,1,1321.4
2011,Rift Valley,Wheat,923.5,15.7,94.2,3.28,1.56,loam,2433,1,4101.0
2005,Nyanza,Maize,1405.4,25.4,28.0,3.12,2.45,clay,1414,0,1105.4
2022,Western,Wheat,2013.2,26.2,39.3,1.74,1.2,clay,1229,0,473.2
2002,North Eastern,Maize,206.7,27.5,37.2,2.96,0.94,sandy,563,0,413.3
2005,Central,Coffee,818.1,19.6,41.5,1.88,1.27,volcanic,2811,1,1541.7
2016,Coast,Coffee,1148.9,26.9,50.2,5.4,2.39,loam,433,0,378.9
2013,North Eastern,Beans,186.4,27.8,95.6,0.94,0.52,clay,305,0,227.9
2003,Nyanza,Tea,1447.3,23.4,39.5,3.27,0.77,loam,1437,0,6049.3
2019,Nyanza,Wheat,1216.5,22.9,31.4,1.46,0.5,clay,1356,1,1376.1
2000,Central,Wheat,720.4,14.2,0.0,5.67,1.57,loam,2845,1,2473.8
2019,Eastern,Tea,513.0,17.1,23.6,1.86,1.13,sandy,1110,0,1540.1
2015,Western,Sorghum,1858.5,21.2,58.2,2.69,1.24,clay,1247,1,257.0
2013,Eastern,Beans,481.5,19.8,41.5,4.08,0.63,clay,668,0,551.3
2018,North Eastern,Beans,176.6,32.1,29.9,2.9,1.66,sandy,239,0,100.0
2022,Rift Valley,Maize,1006.1,17.7,40.8,2.03,1.48,loam,2798,1,1448.5
2019,Nyanza,Maize,1380.1,22.3,64.5,0.68,1.83,loam,1112,0,1569.0
2001,Central,Sorghum,1409.9,15.9,66.3,2.8,5.77,volcanic,2561,1,452.9
2006,Coast,Maize,1308.9,27.3,29.8,1.38,1.24,sandy,143,0,460.4
2015,Nyanza,Coffee,1349.9,23.6,35.0,4.91,1.9,clay,1193,0,667.3
2012,Coast,Maize,1149.7,28.5,40.5,4.04,0.58,sandy,341,0,592.8
2001,Eastern,Sorghum,171.5,23.1,52.9,3.58,1.42,clay,1308,0,1264.0
2002,North Eastern,Tea,218.4,34.6,33.7,4.8,0.86,sandy,374,0,146.2
2017,North Eastern,Maize,262.3,25.7,59.2,4.19,0.35,clay,265,1,903.9
2008,Western,Wheat,1309.3,21.7,30.7,4.64,3.06,loam,1750,0,1567.8
2022,Rift Valley,Beans,767.1,18.8,67.3,2.43,1.85,volcanic,1726,1,1376.9
2000,Nyanza,Beans,1079.0,23.5,46.4,0.01,2.3,loam,1777,0,626.5
2023,Central,Maize,853.8,20.0,40.8,3.16,2.63,volcanic,2420,1,1992.8
2019,North Eastern,Beans,281.1,30.0,20.9,3.26,1.31,sandy,433,0,100.0
2000,Coast,Maize,1151.2,29.0,12.3,2.32,1.63,sandy,416,0,400.9
2013,Rift Valley,Beans,1008.0,18.1,66.5,2.45,1.58,loam,1684,1,1190.3
2004,Eastern,Coffee,425.2,25.8,37.0,5.06,3.05,sandy,1391,0,249.5
2001,North Eastern,Tea,302.4,30.8,11.4,4.43,1.47,clay,487,0,234.9
2016,Central,Maize,1139.9,16.1,44.4,2.55,0.81,loam,2818,1,1139.0
2019,North Eastern,Tea,208.3,31.7,69.8,3.59,2.58,sandy,511,1,230.3
2004,Rift Valley,Beans,768.8,21.5,30.1,2.94,1.51,volcanic,1666,1,1524.6
2004,Nyanza,Beans,2152.5,26.6,69.9,2.0,7.38,loam,1557,0,352.0
2019,Nyanza,Coffee,1241.7,20.7,31.0,0.0,0.86,loam,1436,1,822.4
2016,Western,Wheat,1048.1,21.5,63.6,0.81,2.2,clay,1474,0,1221.5
2018,North Eastern,Maize,301.2,30.2,35.7,2.06,1.92,clay,580,0,402.5
2020,Coast,Tea,1187.0,31.3,36.5,0.81,1.29,loam,458,0,694.3
2017,Western,Coffee,1706.4,24.4,12.6,1.44,1.1,loam,1311,0,494.1
2020,Central,Wheat,1251.4,16.5,40.2,2.01,1.2,volcanic,2791,1,3432.9
2006,North Eastern,Beans,247.1,33.1,32.4,5.62,1.83,sandy,253,0,100.0
2016,Coast,Wheat,932.1,28.7,58.3,1.3,3.84,loam,73,0,578.6
2013,North Eastern,Sorghum,249.1,27.3,45.0,0.0,1.19,clay,590,0,864.6
2013,North Eastern,Beans,304.0,24.1,37.3,3.35,1.2,clay,316,0,248.0
2012,Central,Coffee,800.0,12.8,66.4,2.43,1.53,loam,2619,1,768.0
2014,Nyanza,Tea,1597.8,21.4,46.1,2.13,3.4,clay,1748,0,4320.5
2021,Central,Wheat,1332.7,22.2,49.6,1.12,1.04,loam,2779,1,2346.4
2002,Coast,Maize,1356.1,26.1,31.7,1.41,1.68,sandy,384,0,502.0
2017,Eastern,Sorghum,565.2,21.7,56.9,1.69,1.26,sandy,893,1,743.7
2008,Central,Tea,1243.3,16.4,35.6,3.65,0.65,volcanic,2263,1,17640.2
2010,North Eastern,Coffee,220.9,32.0,68.5,1.87,2.29,sandy,156,0,100.0
2004,Nyanza,Maize,1760.1,21.7,19.1,3.3,3.1,loam,1739,0,1636.4
2006,Coast,Maize,1412.7,27.2,80.7,5.49,1.23,loam,160,0,1112.8
2013,North Eastern,Beans,342.9,28.3,0.0,4.54,2.3,clay,584,0,141.8
2000,Coast,Maize,1130.5,27.2,50.8,2.96,0.67,sandy,503,0,605.7
2001,Central,Sorghum,954.8,21.4,55.3,2.5,2.89,loam,2216,1,1076.9
2001,Western,Beans,1889.3,21.7,25.3,3.93,3.09,loam,1760,0,497.2
2005,Coast,Tea,181.2,28.0,30.8,0.91,0.92,sandy,287,0,497.4
2003,North Eastern,Maize,206.8,30.4,29.9,4.27,3.38,clay,454,0,464.2
2008,North Eastern,Tea,329.7,28.9,47.5,2.46,2.97,sandy,522,0,181.9
2015,Nyanza,Sorghum,1516.6,22.5,18.2,6.7,0.96,clay,1109,1,448.1
2007,Nyanza,Maize,1146.1,26.5,35.7,1.0,1.05,clay,1112,0,987.1
2009,Coast,Maize,943.2,27.8,0.0,2.21,2.42,sandy,345,1,480.5
2008,North Eastern,Coffee,340.6,27.2,57.4,4.53,1.8,clay,470,0,188.1
2022,Western,Sorghum,1562.5,19.8,66.0,1.71,0.83,clay,1781,0,233.5
2011,Nyanza,Coffee,1339.3,22.6,11.2,3.92,2.63,clay,1192,1,779.3
2021,North Eastern,Coffee,316.6,35.0,39.9,3.5,0.63,clay,462,0,100.0
2004,North Eastern,Sorghum,394.7,27.9,50.6,4.53,0.95,sandy,390,0,786.9
2010,Central,Beans,1399.3,16.0,8.9,1.86,3.86,loam,2432,1,798.6
2014,Coast,Coffee,257.0,29.0,70.4,2.67,0.66,loam,351,0,278.5
2020,Rift Valley,Sorghum,1069.1,20.2,70.3,1.69,4.36,volcanic,2314,1,975.2
2002,Coast,Coffee,1288.8,30.3,38.8,2.17,1.54,loam,199,0,219.7
2011,Central,Coffee,1075.1,18.5,40.6,3.54,2.89,loam,2320,1,1378.1
2008,Central,Wheat,1234.8,15.8,7.6,3.44,1.12,volcanic,1601,1,3235.9
2021,Eastern,Beans,481.5,19.9,41.4,1.27,0.64,clay,888,0,484.3
2011,Western,Wheat,1672.3,26.9,27.2,1.7,0.87,loam,1509,1,877.7
2004,Rift Valley,Sorghum,837.4,19.0,15.0,3.41,2.5,loam,2249,1,787.1
2019,Coast,Coffee,1125.4,26.7,49.9,1.25,1.02,loam,430,0,394.9
2018,Nyanza,Wheat,1865.4,24.8,24.8,2.04,1.49,loam,1564,0,709.2
2015,Coast,Coffee,1215.9,25.4,20.9,3.21,3.81,loam,549,1,451.9
2005,Coast,Tea,751.5,28.2,49.0,2.81,1.86,sandy,500,1,832.6
2003,Eastern,Coffee,459.9,24.4,41.5,3.95,2.66,clay,996,0,414.8
2001,North Eastern,Sorghum,184.5,30.4,74.7,5.85,2.11,clay,253,1,1323.9
2013,Nyanza,Coffee,869.6,23.0,38.9,3.48,1.42,loam,1183,1,941.8
2010,North Eastern,Beans,418.2,28.8,44.5,3.9,0.5,clay,153,0,165.8
2011,Nyanza,Beans,640.9,22.4,62.0,5.44,0.57,clay,1771,0,844.3
2012,Western,Sorghum,1797.8,21.4,16.4,3.15,2.94,loam,1818,0,242.8
2009,Coast,Tea,736.6,26.0,37.7,3.15,1.51,loam,101,0,1254.4
2014,North Eastern,Maize,349.1,30.5,63.1,0.67,1.87,sandy,334,0,259.6
2008,Western,Coffee,1567.3,24.3,22.5,1.29,2.74,clay,1477,0,473.0
2000,Coast,Beans,900.5,24.9,46.2,0.83,0.77,loam,46,0,390.9
2023,Rift Valley,Maize,955.3,20.7,40.3,4.68,1.12,loam,1641,1,3155.1
2022,Central,Beans,1214.8,19.4,13.2,2.02,1.49,volcanic,2998,1,908.2
2013,Rift Valley,Sorghum,733.4,21.1,40.4,2.56,0.58,volcanic,2322,1,1108.3
2019,Coast,Coffee,822.2,28.0,0.0,0.85,0.87,sandy,452,0,147.2
2016,Western,Maize,1214.3,21.7,30.3,1.05,1.19,loam,1267,0,1752.9
2007,Eastern,Sorghum,326.4,27.5,56.5,3.22,3.49,sandy,1496,0,841.7
2023,North Eastern,Tea,273.9,30.2,90.5,3.06,0.32,clay,321,1,337.1
2020,Rift Valley,Sorghum,460.5,21.5,43.8,1.93,2.46,volcanic,2161,1,1446.4
2015,Nyanza,Tea,1478.5,22.3,57.6,3.0,1.08,loam,1420,0,6043.2
2007,Nyanza,Sorghum,1305.2,23.6,48.8,3.75,3.31,clay,1236,1,896.4
2007,North Eastern,Coffee,336.2,34.0,22.1,1.77,4.56,sandy,600,1,100.0
2018,Western,Wheat,1396.5,22.4,44.5,4.45,3.27,clay,1359,0,1177.3
2020,Nyanza,Maize,1443.0,24.2,59.2,3.69,1.2,clay,1309,1,1769.3
2000,Rift Valley,Sorghum,1132.3,18.6,9.9,3.76,4.39,volcanic,2190,1,753.3
2020,North Eastern,Tea,375.0,31.6,66.3,2.2,0.32,sandy,349,0,194.5
2004,Rift Valley,Maize,933.6,20.9,50.0,1.18,2.27,volcanic,2173,1,2713.0
2019,Nyanza,Tea,1121.3,22.0,38.5,5.33,1.59,clay,1527,0,4438.4
